,Rating_Multi
532,2
533,2
534,2
535,2
536,2
537,2
538,0
539,1
540,1
541,2
542,1
543,2
544,2
545,2
546,2
547,2
548,2
549,0
550,1
551,2
552,2
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,2
562,1
563,2
564,2
565,0
566,2
567,1
568,1
569,1
570,1
571,2
572,1
573,2
574,2
575,1
576,2
577,1
578,0
579,1
580,1
581,2
582,2
583,1
584,2
585,1
586,2
587,1
588,1
589,1
590,2
591,1
592,1
593,1
594,2
595,2
596,2
597,2
598,1
599,1
600,1
601,2
602,2
603,2
604,2
605,2
606,2
607,1
608,0
609,1
610,1
611,2
612,2
613,2
614,2
615,2
616,1
617,1
618,2
619,2
620,2
621,1
622,2
623,0
624,0
625,1
626,2
627,0
628,1
629,1
630,1
631,1
632,2
633,2
634,1
635,2
636,2
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,0
645,2
646,2
647,0
648,1
649,2
650,1
651,1
652,2
653,1
654,1
655,2
656,2
657,2
658,2
659,0
660,2
661,1
662,2
663,1
664,2
665,1
666,0
667,2
668,0
669,1
670,1
671,1
672,2
673,2
674,2
675,1
676,2
677,2
678,2
679,1
680,2
681,2
682,0
683,2
684,2
685,1
686,2
687,1
688,0
689,2
690,2
691,2
692,2
693,1
694,1
695,2
696,1
697,1
698,1
699,2
700,2
701,2
702,2
703,1
704,1
705,1
706,2
707,1
708,2
709,2
710,2
711,0
712,1
713,2
714,2
715,1
716,1
717,1
718,2
719,1
720,1
721,2
722,1
723,1
724,2
725,1
726,2
727,2
728,2
729,2
730,2
731,1
732,2
733,2
734,1
735,1
736,1
737,0
738,1
739,2
740,2
741,2
742,1
743,1
744,1
745,1
746,1
747,2
748,1
749,1
750,1
751,2
752,0
753,1
754,2
755,2
756,1
757,2
758,2
759,2
760,2
761,1
762,1
763,2
764,2
765,2
766,1
767,0
768,2
769,2
770,0
771,2
772,2
773,0
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,2
783,2
784,2
785,0
786,2
787,1
788,2
789,1
790,1
791,0
792,2
793,2
794,2
795,2
796,2
797,2
798,0
799,1
800,2
801,2
802,2
803,1
804,1
805,1
806,1
807,2
808,1
809,2
810,1
811,1
812,1
813,1
814,2
815,2
816,1
817,1
818,1
819,1
820,2
821,1
822,1
823,1
824,2
825,2
826,2
827,2
828,2
829,1
830,1
831,0
832,1
833,0
834,2
835,2
836,2
837,0
838,2
839,1
840,2
841,2
842,1
843,2
844,2
845,2
846,1
847,0
848,1
849,2
850,1
851,1
852,0
853,0
854,0
855,1
856,2
857,1
858,2
859,1
860,2
861,2
862,1
863,1
864,2
865,1
866,2
867,1
868,1
869,2
870,1
871,2
872,1
873,1
874,2
875,2
876,1
877,2
878,1
879,0
880,2
881,1
882,2
883,2
884,2
885,2
886,1
887,2
888,2
889,1
890,1
891,1
892,1
893,2
894,2
895,2
896,2
897,2
898,2
899,2
900,2
901,1
902,2
903,0
904,2
905,2
906,2
907,2
908,2
909,1
910,1
911,1
912,0
913,1
914,0
915,2
916,2
917,2
918,2
919,0
920,2
921,2
922,2
923,1
924,0
925,2
926,2
927,2
928,2
929,1
930,2
931,2
932,1
933,1
934,2
935,2
936,2
937,2
938,1
939,2
940,1
941,1
942,0
943,1
944,1
945,1
946,1
947,1
948,1
949,2
950,2
951,2
952,2
953,1
954,2
955,2
956,1
957,1
958,2
959,1
960,1
961,2
962,2
963,2
964,1
965,1
966,2
967,1
968,2
969,1
970,1
971,2
972,1
973,2
974,2
975,2
976,2
977,1
978,2
979,2
980,2
981,2
982,1
983,1
984,1
985,1
986,1
987,2
988,2
989,1
990,1
991,1
992,0
993,2
994,2
995,1
996,2
997,1
998,1
999,1
1000,2
1001,1
1002,2
1003,1
1004,2
1005,2
1006,2
1007,0
1008,2
1009,1
1010,2
1011,2
1012,1
1013,2
1014,1
1015,1
1016,1
1017,1
1018,1
1019,2
1020,1
1021,2
1022,2
1023,0
1024,1
1025,1
1026,0
1027,2
1028,1
1029,2
1030,1
1031,1
1032,1
1033,2
1034,1
1035,1
1036,2
1037,0
1038,2
1039,1
1040,2
1041,2
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,2
1049,1
1050,1
1051,1
1052,1
1053,1
1054,2
1055,2
1056,1
1057,2
1058,2
1059,1
1060,2
1061,2
1062,2
1063,2
1064,2
1065,2
1066,2
1067,2
1068,2
1069,2
1070,2
1071,2
1072,2
1073,2
1074,2
1075,2
1076,2
1077,2
1078,2
1079,2
1080,2
1081,2
1082,2
1083,2
1084,1
1085,2
1086,1
1087,2
1088,2
1089,2
1090,2
1091,2
1092,2
1093,2
1094,2
1095,1
1096,2
1097,2
1098,2
1099,2
1100,2
1101,2
1102,2
1103,2
1104,2
1105,2
1106,1
1107,2
1108,2
1109,2
1110,2
1111,2
1112,2
1113,2
1114,2
1115,2
1116,1
1117,2
1118,2
1119,2
1120,2
1121,2
1122,2
1123,2
1124,2
1125,2
1126,2
1127,2
1128,2
1129,2
1130,2
1131,2
1132,2
1133,2
1134,2
1135,2
1136,2
1137,1
1138,2
1139,2
1140,2
1141,2
1142,2
1143,2
1144,2
1145,2
1146,2
1147,2
1148,1
1149,1
1150,2
1151,2
1152,1
1153,2
1154,2
1155,2
1156,2
1157,2
1158,2
1159,0
1160,0
1161,0
1162,2
1163,2
1164,2
1165,1
1166,2
1167,2
1168,2
1169,2
1170,2
1171,2
1172,2
1173,2
1174,2
1175,2
1176,2
1177,2
1178,2
1179,1
1180,1
1181,2
1182,1
1183,1
1184,0
1185,1
1186,1
1187,0
1188,1
1189,1
1190,1
1191,0
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,0
1199,1
1200,1
1201,0
1202,1
1203,1
1204,1
1205,1
1206,0
1207,1
1208,1
1209,0
1210,1
1211,1
1212,1
1213,0
1214,0
1215,1
1216,0
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,0
1233,0
1234,1
1235,1
1236,0
1237,1
1238,1
1239,1
1240,0
1241,1
1242,0
1243,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,0
1250,0
1251,1
1252,1
1253,1
1254,1
1255,1
1256,1
1257,1
1258,1
1259,1
1260,1
1261,1
1262,1
1263,1
1264,1
1265,1
1266,1
1267,0
1268,1
1269,0
1270,1
1271,1
1272,1
1273,1
1274,1
1275,1
1276,0
1277,1
1278,1
1279,1
1280,0
1281,1
1282,1
1283,1
1284,0
1285,1
1286,0
1287,0
1288,1
1289,0
1290,1
1291,1
1292,1
1293,1
1294,1
1295,1
1296,0
1297,0
1298,1
1299,1
1300,0
1301,0
1302,1
1303,1
1304,1
1305,0
1306,1
1307,1
1308,1
1309,1
1310,1
1311,1
1312,0
1313,1
1314,0
1315,1
1316,1
1317,1
1318,1
1319,0
1320,1
1321,0
1322,1
1323,1
1324,1
1325,1
1326,1
1327,1
1328,0
1329,1
1330,1
1331,1
1332,1
1333,1
1334,0
1335,1
1336,0
1337,1
1338,1
1339,1
1340,1
1341,1
1342,1
1343,0
1344,1
1345,1
1346,1
1347,1
1348,1
1349,0
1350,0
1351,0
1352,0
1353,0
1354,1
1355,0
1356,0
1357,1
1358,0
1359,1
1360,1
1361,1
1362,1
1363,0
1364,0
1365,1
1366,0
1367,1
1368,0
1369,1
1370,1
1371,0
1372,0
1373,1
1374,0
1375,1
1376,1
1377,1
1378,1
1379,1
1380,0
1381,0
1382,1
1383,0
1384,0
1385,1
1386,0
1387,1
1388,1
1389,0
1390,0
1391,1
1392,1
1393,1
1394,1
1395,1
1396,0
1397,0
1398,1
1399,0
1400,0
1401,1
1402,0
1403,1
1404,0
1405,1
1406,0
1407,1
1408,0
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,1
1416,1
1417,1
1418,1
1419,1
1420,0
1421,1
1422,0
1423,1
1424,0
1425,0
1426,1
1427,1
1428,0
1429,1
1430,0
1431,1
1432,1
1433,1
1434,1
1435,1
1436,1
1437,0
1438,0
1439,1
1440,1
1441,1
1442,0
1443,1
1444,1
1445,1
1446,1
1447,0
1448,0
1449,1
1450,1
1451,0
1452,1
1453,1
1454,1
1455,1
1456,0
1457,0
1458,1
1459,1
1460,1
1461,1
1462,0
1463,0
1464,1
1465,1
1466,1
1467,1
1468,1
1469,0
1470,1
1471,1
1472,0
1473,1
1474,0
1475,1
1476,0
1477,1
1478,0
1479,1
1480,0
1481,0
1482,0
1483,1
1484,1
1485,0
1486,1
1487,1
1488,0
1489,0
1490,0
1491,0
1492,1
1493,0
1494,0
1495,1
1496,0
1497,1
1498,1
1499,1
1500,1
1501,0
1502,1
1503,0
1504,1
1505,1
1506,1
1507,1
1508,0
1509,1
1510,0
1511,1
1512,1
1513,0
1514,1
1515,1
1516,1
1517,0
1518,1
1519,1
1520,1
1521,0
1522,1
1523,0
1524,1
1525,1
1526,1
1527,1
1528,0
1529,1
1530,0
1531,1
1532,0
1533,1
1534,1
1535,1
1536,0
1537,0
1538,0
1539,1
1540,1
1541,1
1542,1
1543,0
1544,1
1545,1
1546,1
1547,0
1548,1
1549,1
1550,1
1551,1
1552,0
1553,0
1554,1
1555,0
1556,0
1557,1
1558,0
1559,1
1560,0
1561,1
1562,1
1563,0
1564,1
1565,1
1566,0
1567,1
1568,1
1569,1
1570,0
1571,1
1572,0
1573,1
1574,1
1575,1
1576,0
1577,0
1578,1
1579,1
1580,0
1581,1
1582,1
1583,1
1584,1
1585,0
1586,1
1587,1
1588,1
1589,0
1590,1
1591,0
1592,0
1593,1
1594,1
1595,1
1596,0
1597,1
1598,1
1599,1
1600,1
1601,1
1602,0
1603,1
1604,1
1605,1
1606,1
1607,0
1608,1
1609,1
1610,1
1611,1
1612,0
1613,1
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,1
1621,0
1622,0
1623,0
1624,1
1625,0
1626,1
1627,1
1628,1
1629,0
1630,0
1631,1
1632,1
1633,1
1634,1
1635,1
1636,0
1637,1
1638,1
1639,1
1640,1
1641,1
1642,1
1643,1
1644,0
1645,1
1646,1
1647,0
1648,1
1649,1
1650,1
1651,1
1652,1
1653,1
1654,1
1655,1
1656,1
1657,1
1658,1
1659,1
1660,1
1661,0
1662,1
1663,1
1664,0
1665,1
1666,1
1667,0
1668,0
1669,1
1670,1
1671,0
1672,1
1673,0
1674,1
1675,0
1676,1
1677,1
1678,1
1679,1
1680,1
1681,1
1682,0
1683,0
1684,1
1685,0
1686,1
1687,0
1688,1
1689,1
1690,1
1691,0
1692,0
1693,1
1694,1
1695,1
1696,1
1697,1
1698,1
1699,0
1700,0
1701,1
1702,0
1703,0
1704,1
1705,0
1706,1
1707,1
1708,1
1709,0
1710,1
1711,0
1712,0
1713,1
1714,1
1715,1
1716,1
1717,1
1718,0
1719,0
1720,1
1721,1
1722,1
1723,1
1724,1
1725,1
1726,0
1727,1
1728,0
1729,1
1730,1
1731,1
1732,1
1733,1
1734,1
1735,1
1736,1
1737,1
1738,1
1739,1
1740,1
1741,0
1742,0
1743,0
1744,1
1745,1
1746,1
1747,1
1748,0
1749,1
1750,1
1751,1
1752,1
1753,0
1754,1
1755,1
1756,1
1757,0
1758,0
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,0
1767,1
1768,1
1769,1
1770,1
1771,1
1772,1
1773,1
1774,1
1775,0
1776,1
1777,1
1778,0
1779,1
1780,1
1781,1
1782,1
1783,1
1784,1
1785,1
1786,1
1787,1
1788,0
1789,1
1790,1
1791,1
1792,1
1793,1
1794,1
1795,1
1796,1
1797,1
1798,0
1799,1
1800,0
1801,1
1802,0
1803,0
1804,1
1805,1
1806,1
1807,0
1808,1
1809,1
1810,0
1811,0
1812,1
1813,0
1814,1
1815,1
1816,1
1817,1
1818,0
1819,1
1820,1
1821,0
1822,0
1823,0
1824,1
1825,1
1826,0
1827,1
1828,0
1829,0
1830,1
1831,1
1832,1
1833,0
1834,0
1835,1
1836,1
1837,1
1838,1
1839,1
1840,1
1841,1
1842,0
1843,1
1844,1
1845,1
1846,1
1847,1
1848,1
1849,1
1850,0
1851,1
1852,0
1853,1
1854,0
1855,1
1856,1
1857,1
1858,0
1859,1
1860,1
1861,1
1862,1
1863,1
1864,1
1865,1
1866,1
1867,1
1868,0
1869,1
1870,1
1871,1
1872,1
1873,0
1874,0
1875,1
1876,1
1877,0
1878,1
1879,0
1880,1
1881,1
1882,0
1883,0
1884,0
1885,1
1886,1
1887,1
1888,0
1889,0
1890,0
1891,1
1892,1
1893,0
1894,1
1895,0
1896,1
1897,0
1898,1
1899,1
1900,1
1901,1
1902,1
1903,1
1904,0
1905,0
1906,1
1907,1
1908,2
1909,2
1910,2
1911,2
1912,1
1913,2
1914,2
1915,2
1916,2
1917,1
1918,2
1919,2
1920,2
1921,2
1922,2
1923,1
1924,2
1925,2
1926,1
1927,2
1928,2
1929,2
1930,1
1931,2
1932,2
1933,0
1934,2
1935,1
1936,2
1937,2
1938,1
1939,1
1940,2
1941,1
1942,2
1943,2
1944,2
1945,1
1946,2
1947,2
1948,2
1949,2
1950,2
1951,2
1952,2
1953,0
1954,1
1955,2
1956,0
1957,2
1958,1
1959,2
1960,1
1961,0
1962,1
1963,2
1964,1
1965,1
1966,2
1967,2
1968,2
1969,2
1970,2
1971,2
1972,1
1973,1
1974,1
1975,2
1976,1
1977,1
1978,2
1979,1
1980,1
1981,2
1982,0
1983,2
1984,1
1985,2
1986,2
1987,1
1988,1
1989,2
1990,2
1991,2
1992,2
1993,1
1994,1
1995,1
1996,1
1997,2
1998,1
1999,2
2000,1
2001,1
2002,2
2003,2
2004,2
2005,2
2006,1
2007,1
2008,2
2009,1
2010,2
2011,0
2012,1
2013,1
2014,1
2015,2
2016,0
2017,1
2018,1
2019,2
2020,1
2021,2
2022,2
2023,1
2024,0
2025,1
2026,1
2027,1
2028,1
2029,2
2030,1
2031,1
2032,0
2033,1
2034,2
2035,2
2036,1
2037,2
2038,2
2039,0
2040,2
2041,1
2042,2
2043,1
2044,2
2045,1
2046,1
2047,1
2048,1
2049,1
2050,2
2051,2
2052,1
2053,1
2054,1
2055,1
2056,0
2057,2
2058,0
2059,2
2060,2
2061,1
2062,2
2063,1
2064,0
2065,2
2066,1
2067,1
2068,1
2069,1
2070,2
2071,2
2072,1
2073,2
2074,2
2075,0
2076,1
2077,2
2078,1
2079,2
2080,2
2081,0
2082,2
2083,0
2084,1
2085,2
2086,2
2087,1
2088,2
2089,1
2090,2
2091,2
2092,0
2093,0
2094,1
2095,2
2096,2
2097,2
2098,1
2099,0
2100,2
2101,2
2102,2
2103,2
2104,2
2105,1
2106,0
2107,1
2108,2
2109,1
2110,2
2111,2
2112,2
2113,1
2114,2
2115,0
2116,1
2117,0
2118,1
2119,1
2120,1
2121,2
2122,1
2123,1
2124,2
2125,1
2126,1
2127,1
2128,2
2129,0
2130,2
2131,1
2132,2
2133,0
2134,0
2135,2
2136,2
2137,1
2138,2
2139,1
2140,1
2141,2
2142,2
2143,2
2144,1
2145,1
2146,2
2147,2
2148,2
2149,2
2150,2
2151,2
2152,1
2153,2
2154,2
2155,2
2156,2
2157,2
2158,1
2159,1
2160,1
2161,2
2162,1
2163,1
2164,2
2165,2
2166,1
2167,2
2168,2
2169,0
2170,2
2171,2
2172,2
2173,2
2174,2
2175,2
2176,1
2177,1
2178,2
2179,2
2180,2
2181,2
2182,2
2183,1
2184,2
2185,2
2186,2
2187,1
2188,1
2189,2
2190,1
2191,2
2192,2
2193,2
2194,2
2195,2
2196,2
2197,2
2198,2
2199,2
2200,2
2201,1
2202,2
2203,2
2204,2
2205,2
2206,2
2207,2
2208,2
2209,2
2210,2
2211,2
2212,2
2213,2
2214,2
2215,2
2216,2
2217,2
2218,2
2219,2
2220,2
2221,2
2222,2
2223,2
2224,2
2225,2
2226,2
2227,2
2228,2
2229,2
2230,2
2231,2
2232,2
2233,2
2234,2
2235,2
2236,2
2237,2
2238,2
2239,2
2240,2
2241,2
2242,2
2243,2
2244,2
2245,2
2246,2
2247,2
2248,2
2249,2
2250,2
2251,2
2252,2
2253,2
2254,2
2255,2
2256,2
2257,2
2258,2
2259,2
2260,2
2261,2
2262,2
2263,2
2264,2
2265,2
2266,2
2267,2
2268,2
2269,2
2270,2
2271,2
2272,2
2273,2
2274,2
2275,2
2276,2
2277,2
2278,2
2279,2
2280,2
2281,2
2282,2
2283,2
2284,2
2285,2
2286,2
2287,2
2288,2
2289,2
2290,2
2291,2
2292,2
2293,2
2294,1
2295,2
2296,2
2297,2
2298,2
2299,2
2300,2
2301,2
2302,2
2303,1
2304,2
2305,1
2306,2
2307,2
2308,2
2309,2
2310,2
2311,2
2312,2
2313,2
2314,2
2315,2
2316,2
2317,2
2318,2
2319,2
2320,2
2321,2
2322,2
2323,2
2324,2
2325,2
2326,2
2327,2
2328,2
2329,2
2330,2
2331,2
2332,2
2333,2
2334,2
2335,2
2336,2
2337,2
2338,2
2339,2
2340,2
2341,2
2342,2
2343,2
2344,2
2345,2
2346,2
2347,1
2348,2
2349,2
2350,2
2351,2
2352,2
2353,2
2354,2
2355,2
2356,2
2357,2
2358,2
2359,2
2360,2
2361,2
2362,2
2363,2
2364,2
2365,2
2366,2
2367,2
2368,2
2369,2
2370,2
2371,2
2372,2
2373,2
2374,2
2375,2
2376,2
2377,2
2378,2
2379,2
2380,2
2381,2
2382,2
2383,2
2384,2
2385,2
2386,2
2387,2
2388,2
2389,2
2390,2
2391,2
2392,2
2393,2
2394,2
2395,2
2396,2
2397,2
2398,2
2399,2
2400,2
2401,2
2402,2
2403,2
2404,2
2405,2
2406,2
2407,1
2408,2
2409,2
2410,2
2411,2
2412,2
2413,2
2414,2
2415,2
2416,2
2417,2
2418,2
2419,2
2420,2
2421,1
2422,2
2423,2
2424,1
2425,2
2426,2
2427,2
2428,2
2429,2
2430,2
2431,2
2432,2
2433,2
2434,2
2435,2
2436,2
2437,2
2438,2
2439,2
2440,2
2441,2
2442,2
2443,2
2444,2
2445,2
2446,2
2447,2
2448,2
2449,2
2450,2
2451,2
2452,2
2453,2
2454,2
2455,2
2456,2
2457,2
2458,2
2459,2
2460,2
2461,2
2462,2
2463,2
2464,2
2465,2
2466,2
2467,2
2468,2
2469,2
2470,2
2471,2
2472,2
2473,2
2474,2
2475,2
2476,2
2477,2
2478,2
2479,2
2480,2
2481,2
2482,2
2483,2
2484,2
2485,2
2486,1
2487,1
2488,1
2489,0
2490,1
2491,1
2492,1
2493,1
2494,1
2495,1
2496,1
2497,1
2498,1
2499,1
2500,1
2501,1
2502,1
2503,1
2504,0
2505,1
2506,1
2507,1
2508,1
2509,1
2510,1
2511,0
2512,0
2513,0
2514,1
2515,1
2516,1
2517,1
2518,0
2519,1
2520,1
2521,0
2522,1
2523,1
2524,1
2525,1
2526,0
2527,1
2528,1
2529,1
2530,1
2531,0
2532,1
2533,0
2534,0
2535,1
2536,0
2537,1
2538,1
2539,0
2540,0
2541,1
2542,0
2543,0
2544,1
2545,1
2546,1
2547,0
2548,0
2549,1
2550,1
2551,2
2552,2
2553,2
2554,1
2555,2
2556,1
2557,2
2558,2
2559,1
2560,1
2561,2
2562,1
2563,2
2564,2
2565,2
2566,1
2567,2
2568,2
2569,1
2570,2
2571,2
2572,2
2573,2
2574,2
2575,2
2576,1
2577,2
2578,2
2579,2
2580,2
2581,2
2582,2
2583,1
2584,2
2585,2
2586,2
2587,1
2588,2
2589,2
2590,2
2591,2
2592,2
2593,2
2594,2
2595,2
2596,1
2597,2
2598,1
2599,2
2600,2
2601,2
2602,2
2603,1
2604,2
2605,2
2606,2
2607,2
2608,2
2609,2
2610,1
2611,1
2612,1
2613,1
2614,2
2615,1
2616,2
2617,1
2618,2
2619,2
2620,1
2621,2
2622,1
2623,2
2624,1
2625,1
2626,1
2627,2
2628,1
2629,2
2630,2
2631,2
2632,1
2633,1
2634,1
2635,2
2636,2
2637,1
2638,1
2639,1
2640,1
2641,1
2642,0
2643,0
2644,0
2645,0
2646,1
2647,1
2648,0
2649,1
2650,1
2651,2
2652,1
2653,2
2654,1
2655,2
2656,2
2657,2
2658,1
2659,1
2660,2
2661,1
2662,1
2663,1
2664,2
2665,1
2666,2
2667,2
2668,2
2669,2
2670,2
2671,1
2672,1
2673,1
2674,1
2675,2
2676,2
2677,2
2678,1
2679,2
2680,2
2681,1
2682,2
2683,2
2684,2
2685,2
2686,2
2687,1
2688,2
2689,2
2690,2
2691,1
2692,1
2693,1
2694,2
2695,1
2696,1
2697,1
2698,1
2699,2
2700,2
2701,2
2702,2
2703,1
2704,2
2705,2
2706,1
2707,2
2708,2
2709,1
2710,2
2711,2
2712,2
2713,1
2714,2
2715,2
2716,2
2717,1
2718,2
2719,1
2720,2
2721,2
2722,2
2723,1
2724,2
2725,2
2726,1
2727,1
2728,2
2729,2
2730,1
2731,1
2732,1
2733,2
2734,2
2735,2
2736,2
2737,2
2738,2
2739,2
2740,1
2741,2
2742,2
2743,2
2744,1
2745,1
2746,2
2747,1
2748,1
2749,2
2750,2
2751,2
2752,2
2753,2
2754,2
2755,2
2756,2
2757,2
2758,2
2759,1
2760,2
2761,2
2762,2
2763,0
2764,2
2765,1
2766,2
2767,2
2768,2
2769,1
2770,0
2771,2
2772,2
2773,1
2774,2
2775,2
2776,2
2777,2
2778,2
2779,1
2780,2
2781,1
2782,1
2783,1
2784,2
2785,2
2786,1
2787,1
2788,2
2789,1
2790,2
2791,1
2792,1
2793,2
2794,0
2795,2
2796,2
2797,2
2798,1
2799,2
2800,2
2801,2
2802,1
2803,2
2804,2
2805,2
2806,2
2807,2
2808,2
2809,2
2810,1
2811,2
2812,2
2813,2
2814,1
2815,1
2816,2
2817,2
2818,2
2819,2
2820,2
2821,2
2822,2
2823,2
2824,1
2825,0
2826,1
2827,0
2828,1
2829,1
2830,1
2831,1
2832,1
2833,1
2834,1
2835,1
2836,0
2837,1
2838,1
2839,1
2840,1
2841,0
2842,1
2843,1
2844,0
2845,1
2846,1
2847,1
2848,1
2849,1
2850,1
2851,1
2852,1
2853,1
2854,1
2855,1
2856,1
2857,1
2858,1
2859,1
2860,1
2861,1
2862,1
2863,1
2864,0
2865,1
2866,1
2867,0
2868,1
2869,1
2870,0
2871,1
2872,0
2873,1
2874,1
2875,1
2876,1
2877,1
2878,1
2879,1
2880,1
2881,1
2882,1
2883,1
2884,1
2885,1
2886,0
2887,1
2888,1
2889,1
2890,1
2891,0
2892,0
2893,1
2894,1
2895,1
2896,1
2897,1
2898,1
2899,0
2900,1
2901,1
2902,1
2903,1
2904,1
2905,0
2906,1
2907,1
2908,1
2909,1
2910,1
2911,1
2912,1
2913,1
2914,1
2915,1
2916,1
2917,1
2918,1
2919,1
2920,2
2921,1
2922,1
2923,0
2924,1
2925,1
2926,1
2927,1
2928,1
2929,1
2930,1
2931,1
2932,1
2933,1
2934,0
2935,1
2936,1
2937,1
2938,1
2939,1
2940,1
2941,0
2942,1
2943,0
2944,1
2945,1
2946,1
2947,0
2948,1
2949,1
2950,1
2951,0
2952,1
2953,1
2954,1
2955,1
2956,1
2957,0
2958,1
2959,1
2960,1
2961,1
2962,1
2963,1
2964,0
2965,1
2966,1
2967,0
2968,1
2969,1
2970,1
2971,1
2972,1
2973,1
2974,1
2975,1
2976,0
2977,1
2978,1
2979,1
2980,1
2981,1
2982,1
2983,1
2984,1
2985,1
2986,1
2987,1
2988,1
2989,1
2990,1
2991,1
2992,1
2993,1
2994,1
2995,0
